1423774192 ------------------------------------------------------------
1423774192 Server listening on TCP port 5001
1423774192 TCP window size: 85.3 KByte (default)
1423774192 ------------------------------------------------------------
1423774193 ------------------------------------------------------------
1423774193 Client connecting to 192.168.1.14, TCP port 5001
1423774193 TCP window size: 91.9 KByte (default)
1423774193 ------------------------------------------------------------
1423774332 [  4] 138.0-139.0 sec  7.05 MBytes  59.1 Mbits/sec
1423774332 [  5] 138.0-139.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774333 [  5] 139.0-140.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774333 [  4] 139.0-140.0 sec  8.20 MBytes  68.8 Mbits/sec
1423774334 [  4] 140.0-141.0 sec  9.77 MBytes  81.9 Mbits/sec
1423774334 [  5] 140.0-141.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774335 [  4] 141.0-142.0 sec  9.07 MBytes  76.0 Mbits/sec
1423774335 [  5] 141.0-142.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774336 [  4] 142.0-143.0 sec  7.16 MBytes  60.0 Mbits/sec
1423774336 [  5] 142.0-143.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774337 [  4] 143.0-144.0 sec  7.18 MBytes  60.3 Mbits/sec
1423774337 [  5] 143.0-144.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774338 [  5] 144.0-145.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774338 [  4] 144.0-145.0 sec  9.00 MBytes  75.5 Mbits/sec
1423774339 [  4] 145.0-146.0 sec  8.32 MBytes  69.8 Mbits/sec
1423774339 [  5] 145.0-146.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774340 [  4] 146.0-147.0 sec  9.55 MBytes  80.1 Mbits/sec
1423774340 [  5] 146.0-147.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774341 [  4] 147.0-148.0 sec  8.73 MBytes  73.3 Mbits/sec
1423774341 [  5] 147.0-148.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774342 [  4] 148.0-149.0 sec  8.09 MBytes  67.9 Mbits/sec
1423774342 [  5] 148.0-149.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774343 [  5] 149.0-150.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774343 [  4] 149.0-150.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774344 [  5] 150.0-151.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774344 [  4] 150.0-151.0 sec  7.12 MBytes  59.7 Mbits/sec
1423774345 [  4] 151.0-152.0 sec  7.01 MBytes  58.8 Mbits/sec
1423774345 [  5] 151.0-152.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774346 [  5] 152.0-153.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774346 [  4] 152.0-153.0 sec  8.55 MBytes  71.7 Mbits/sec
1423774347 [  4] 153.0-154.0 sec  8.07 MBytes  67.7 Mbits/sec
1423774347 [  5] 153.0-154.0 sec  7.38 MBytes  61.9 Mbits/sec
